,Unnamed: 0,x,y_orig,y
0,0,1.0,4.7309811507911945,5.110973132743693
1,1,1.0006944,4.440981150793959,5.150358866633993
2,2,1.0013889,5.030981150794105,5.187655119666281
3,3,1.0020833,5.080981150793377,5.222917910169978
4,4,1.0027778,5.180981150791922,5.256203256474507
5,5,1.0034722,5.180981150791922,5.28756717690929
6,6,1.0041667,5.510981150793668,5.317065689803749
7,7,1.0048611,5.520981150792068,5.344754813487306
8,8,1.0055556,5.710981150790758,5.370690566289384
9,9,1.00625,5.430981150791922,5.394928966539404
10,10,1.0069444,5.530981150794105,5.417526032566789
11,11,1.0076389,5.420981150793523,5.438537782700962
12,12,1.0083333,5.430981150791922,5.458020235271343
13,13,1.0090278,5.690981150793959,5.476029408607356
14,14,1.0097222,5.660981150791486,5.492621321038422
15,15,1.0104167,5.640981150791049,5.507851990893965
16,16,1.0111111,5.540981150792504,5.521777436503405
17,17,1.0118056,5.82098115079134,5.534453676196165
18,18,1.0125,5.510981150793668,5.545936728301668
19,19,1.0131944,5.790981150792504,5.556282611149335
20,20,1.0138889,5.6209811507906124,5.565547343068589
21,21,1.0145833,5.720981150792795,5.573786942388852
22,22,1.0152778,5.640981150791049,5.581057427439546
23,23,1.0159722,5.640981150791049,5.587414816550093
24,24,1.0166667,5.660981150791486,5.592915128049915
25,25,1.0173611,5.640981150791049,5.5976143802684355
26,26,1.0180556,5.500981150791631,5.601568591535076
27,27,1.01875,5.740981150793232,5.604833780179258
28,28,1.0194444,5.660981150791486,5.607465964530404
29,29,1.0201389,5.660981150791486,5.609521162917937
30,30,1.0208333,5.580981150793377,5.611055393671278
31,31,1.0215278,5.710981150790758,5.6121246751198495
32,32,1.0222222,5.7309811507911945,5.612785025593075
33,33,1.0229167,5.640981150791049,5.613092463420374
34,34,1.0236111,5.640981150791049,5.613103006931172
35,35,1.0243056,5.640981150791049,5.612872674454888
36,36,1.025,5.850981150793814,5.612457484320947
37,37,1.0256944,5.790981150792504,5.611913454858769
38,38,1.0263889,5.8709811507906124,5.6112966043977766
39,39,1.0270833,5.780981150794105,5.610662951267393
40,40,1.0277778,5.760981150793668,5.6100685137970405
41,41,1.0284722,5.740981150793232,5.6095693103161395
42,42,1.0291667,5.660981150791486,5.609221359154113
43,43,1.0298611,5.930981150791922,5.609080678640385
44,44,1.0305556,5.740981150793232,5.609203287104375
45,45,1.03125,5.840981150791777,5.609645202875507
46,46,1.0319444,5.470981150792795,5.610462444283202
47,47,1.0326389,5.860981150792213,5.611711029656883
48,48,1.0333333,5.780981150794105,5.613446977325972
49,49,1.0340278,5.390981150791049,5.61572630561989
50,50,1.0347222,5.510981150793668,5.6256192960502975
51,51,1.0354167,5.110981150792213,5.625150238427272
52,52,1.0361111,5.500981150791631,5.632907141188388
53,53,1.0368056,5.200981150792359,5.646133101572582
54,54,1.0375,5.300981150790904,5.656368005534179
55,55,1.0381944,5.310981150792941,5.667336612977139
56,56,1.0388889,5.520981150792068,5.685473677803104
57,57,1.0395833,5.240981150793232,5.7039154245017984
58,58,1.0402778,5.13098115079265,5.726704710216052
59,59,1.0409722,4.950981150792359,5.752357711416522
60,60,1.0416667,5.13098115079265,5.7837865529531625
61,61,1.0423611,4.88098115079265,5.813966775042001
62,62,1.0430556,5.060981150792941,5.8538146742016535
63,63,1.04375,4.790981150792504,5.895550838667466
64,64,1.0444444,5.270981150792068,5.9473550703601425
65,65,1.0451389,4.960981150790758,6.000320646590602
66,66,1.0458333,5.180981150791922,6.056380670600218
67,67,1.0465278,5.3709811507906124,6.112682381284491
68,68,1.0472222,5.750981150791631,6.1617695961704815
69,69,1.0479167,5.490981150793232,6.210764494129661
70,70,1.0486111,5.82098115079134,6.248896516938781
71,71,1.0493056,6.420981150793523,6.283208341668706
72,72,1.05,6.330981150793377,6.31008559256908
73,73,1.0506944,6.520981150792068,6.328011402893204
74,74,1.0513889,6.6209811507906124,6.345798137587083
75,75,1.0520833,7.020981150792068,6.355697237226925
76,76,1.0527778,7.140981150791049,6.364494176002454
77,77,1.0534722,7.1209811507906124,6.3725680955702995
78,78,1.0541667,6.860981150792213,6.377090184405837
79,79,1.0548611,7.1209811507906124,6.388031150792386
80,80,1.0555556,6.940981150793959,6.393098587767197
81,81,1.05625,6.760981150793668,6.406646576962857
82,82,1.0569444,6.680981150791922,6.418788713817564
83,83,1.0576389,6.890981150791049,6.435115844669856
84,84,1.0583333,6.780981150794105,6.451197267238863
85,85,1.0590278,6.7309811507911945,6.470845736626583
86,86,1.0597222,6.38098115079265,6.493085022340903
87,87,1.0604167,6.720981150792795,6.516374908295299
88,88,1.0611111,6.750981150791631,6.5475499383072755
89,89,1.0618056,6.720981150792795,6.5755650043336775
90,90,1.0625,6.82098115079134,6.603553539747879
91,91,1.0631944,6.530981150794105,6.627295136386522
92,92,1.0638889,6.910981150791486,6.646888833865498
93,93,1.0645833,6.910981150791486,6.668712573361285
94,94,1.0652778,7.000981150791631,6.682252369279678
95,95,1.0659722,7.180981150791922,6.697776048751475
96,96,1.0666667,7.190981150793959,6.708576048751498
97,97,1.0673611,7.270981150792068,6.71870392990397
98,98,1.0680556,7.090981150791777,6.724554830264131
99,99,1.06875,7.160981150791486,6.720768155594252
100,100,1.0694444,6.970981150792795,6.713204470120094
101,101,1.0701389,7.270981150792068,6.696862513337346
102,102,1.0708333,7.330981150793377,6.681762243229284
103,103,1.0715278,7.050981150790904,6.667544236026385
104,104,1.0722222,7.390981150791049,6.6483113128570865
105,105,1.0729167,7.400981150793086,6.630604770240021
