1-14 Jan 2024, Surlari, B-z
Time (Days)             B-z (nT)
1.1715278               43234.3                  
1.1722222               43234.4                  
1.1729167               43234.2                  
1.1736111               43234.3                  
1.1743056               43234.4                  
1.175                   43234.3                  
1.1756944               43234.5                  
1.1763889               43234.3                  
1.1770833               43234.4                  
1.1777778               43234.4                  
1.1784722               43234.3                  
1.1791667               43234.3                  
1.1798611               43234.2                  
1.1805556               43234.2                  
1.18125                 43234.4                  
1.1819444               43234.1                  
1.1826389               43234.3                  
1.1833333               43234.2                  
1.1840278               43234.4                  
1.1847222               43234.3                  
1.1854167               43234.6                  
1.1861111               43234.4                  
1.1868056               43234.6                  
1.1875                  43234.5                  
1.1881944               43234.7                  
1.1888889               43234.1                  
1.1895833               43234.5                  
1.1902778               43234                    
1.1909722               43234.5                  
1.1916667               43234.2                  
1.1923611               43234.3                  
1.1930556               43234.1                  
1.19375                 43234.1                  
1.1944444               43234.3                  
1.1951389               43234.3                  
1.1958333               43234.3                  
1.1965278               43234.1                  
1.1972222               43234.3                  
1.1979167               43234.3                  
1.1986111               43234.5                  
1.1993056               43234.3                  
1.2                     43234.2                  
1.2006944               43234.6                  
1.2013889               43234.3                  
1.2020833               43234.6                  
1.2027778               43234.3                  
1.2034722               43234.3                  
1.2041667               43234.4                  
1.2048611               43234.5                  
1.2055556               43234.6                  
1.20625                 43234.5                  
1.2069444               43234.5                  
1.2076389               43234.6                  
1.2083333               43234.4                  
1.2090278               43234.7                  
1.2097222               43234.4                  
1.2104167               43234.5                  
1.2111111               43234.6                  
1.2118056               43234.8                  
1.2125                  43234.8                  
1.2131944               43234.7                  
1.2138889               43235.1                  
1.2145833               43234.5                  
1.2152778               43234.7                  
1.2159722               43234.7                  
1.2166667               43234.1                  
1.2173611               43234.6                  
1.2180556               43234.1                  
1.21875                 43234.4                  
1.2194444               43234.4                  
1.2201389               43234.5                  
1.2208333               43234.7                  
1.2215278               43234.5                  
1.2222222               43234.4                  
1.2229167               43234.5                  
1.2236111               43234.5                  
1.2243056               43234.3                  
1.225                   43234.3                  
1.2256944               43234.3                  
1.2263889               43234.6                  
1.2270833               43234.1                  
1.2277778               43234.6                  
1.2284722               43234.1                  
1.2291667               43234.1                  
1.2298611               43234.3                  
1.2305556               43234                    
1.23125                 43233.8                  
1.2319444               43233.8                  
1.2326389               43234.2                  
1.2333333               43233.8                  
1.2340278               43233.9                  
1.2347222               43233.4                  
1.2354167               43234                    
1.2361111               43233.6                  
1.2368056               43234.1                  
1.2375                  43233.8                  
1.2381944               43233.9                  
1.2388889               43233.7                  
1.2395833               43234.1                  
1.2402778               43234                    
1.2409722               43233.6                  
1.2416667               43234                    
1.2423611               43233.7                  
1.2430556               43233.7                  
1.24375                 43233.7                  
