1-14 Jan 2024, Surlari, B-x
Time (Days)             B-x (nT)
1.1479167               22585.22                 
1.1486111               22585.22                 
1.1493056               22584.85                 
1.15                    22585.41                 
1.1506944               22584.6                  
1.1513889               22584.89                 
1.1520833               22585.05                 
1.1527778               22585.28                 
1.1534722               22585.61                 
1.1541667               22586.14                 
1.1548611               22585.87                 
1.1555556               22586.38                 
1.15625                 22586.37                 
1.1569444               22586.7                  
1.1576389               22586.99                 
1.1583333               22587.4                  
1.1590278               22587.92                 
1.1597222               22587.84                 
1.1604167               22587.96                 
1.1611111               22587.72                 
1.1618056               22587.19                 
1.1625                  22586.73                 
1.1631944               22586.49                 
1.1638889               22586.1                  
1.1645833               22585.87                 
1.1652778               22585.8                  
1.1659722               22586.05                 
1.1666667               22585.94                 
1.1673611               22586.36                 
1.1680556               22586.67                 
1.16875                 22586.98                 
1.1694444               22587.37                 
1.1701389               22587.12                 
1.1708333               22587.42                 
1.1715278               22587.58                 
1.1722222               22587.5                  
1.1729167               22587.69                 
1.1736111               22587.62                 
1.1743056               22587.51                 
1.175                   22587.69                 
1.1756944               22587.69                 
1.1763889               22587.86                 
1.1770833               22587.88                 
1.1777778               22587.79                 
1.1784722               22588.01                 
1.1791667               22588.19                 
1.1798611               22588.33                 
1.1805556               22588.3                  
1.18125                 22588.16                 
1.1819444               22588.38                 
1.1826389               22588.08                 
1.1833333               22588.18                 
1.1840278               22587.77                 
1.1847222               22587.95                 
1.1854167               22587.57                 
1.1861111               22587.53                 
1.1868056               22587.23                 
1.1875                  22587.42                 
1.1881944               22587                    
1.1888889               22587.96                 
1.1895833               22587.49                 
1.1902778               22588.26                 
1.1909722               22588.11                 
1.1916667               22588.66                 
1.1923611               22588.69                 
1.1930556               22589.22                 
1.19375                 22589.21                 
1.1944444               22589.04                 
1.1951389               22589.31                 
1.1958333               22589.32                 
1.1965278               22589.52                 
1.1972222               22589.33                 
1.1979167               22589.3                  
1.1986111               22589.3                  
1.1993056               22589.43                 
1.2                     22589.83                 
1.2006944               22589.33                 
1.2013889               22589.7                  
1.2020833               22589.35                 
1.2027778               22590.13                 
1.2034722               22589.61                 
1.2041667               22589.72                 
1.2048611               22589.23                 
1.2055556               22589.58                 
1.20625                 22589.48                 
1.2069444               22589.67                 
1.2076389               22589.45                 
1.2083333               22590.04                 
1.2090278               22589.68                 
1.2097222               22589.86                 
1.2104167               22589.65                 
1.2111111               22589.51                 
1.2118056               22589.5                  
1.2125                  22589.7                  
1.2131944               22589.67                 
1.2138889               22589.57                 
1.2145833               22590.11                 
1.2152778               22590.17                 
1.2159722               22590.51                 
1.2166667               22591.18                 
1.2173611               22590.92                 
1.2180556               22591.51                 
1.21875                 22591.01                 
1.2194444               22591.61                 
1.2201389               22591.18                 
1.2208333               22591.11                 
1.2215278               22591.36                 
1.2222222               22591.56                 
1.2229167               22591.26                 
1.2236111               22591.66                 
1.2243056               22591.64                 
1.225                   22591.88                 
1.2256944               22591.79                 
1.2263889               22591.78                 
1.2270833               22592.24                 
1.2277778               22592.07                 
1.2284722               22592.62                 
1.2291667               22592.56                 
1.2298611               22592.69                 
1.2305556               22592.88                 
1.23125                 22592.98                 
1.2319444               22593.2                  
1.2326389               22592.61                 
1.2333333               22593.21                 
1.2340278               22593.13                 
1.2347222               22593.9                  
1.2354167               22593.39                 
1.2361111               22594                    
1.2368056               22593.59                 
1.2375                  22593.96                 
1.2381944               22593.88                 
1.2388889               22594.21                 
1.2395833               22593.87                 
1.2402778               22594.23                 
1.2409722               22594.63                 
1.2416667               22594.04                 
1.2423611               22594.61                 
1.2430556               22594.73                 
1.24375                 22594.72                 
1.2444444               22594.55                 
1.2451389               22594.53                 
1.2458333               22595                    
1.2465278               22594.42                 
1.2472222               22594.99                 
1.2479167               22594.68                 
1.2486111               22594.57                 
1.2493056               22594.99                 
1.25                    22595.04                 
1.2506944               22595.43                 
1.2513889               22595.85                 
1.2520833               22595.66                 
1.2527778               22596.08                 
1.2534722               22595.97                 
1.2541667               22595.88                 
1.2548611               22596.07                 
1.2555556               22595.78                 
1.25625                 22596.05                 
1.2569444               22596.34                 
1.2576389               22595.97                 
1.2583333               22596.49                 
1.2590278               22596.09                 
1.2597222               22596.6                  
1.2604167               22596.19                 
1.2611111               22596.59                 
1.2618056               22596.79                 
1.2625                  22596.58                 
1.2631944               22596.68                 
1.2638889               22596.79                 
1.2645833               22596.82                 
1.2652778               22596.9                  
1.2659722               22596.91                 
1.2666667               22597.52                 
1.2673611               22596.92                 
1.2680556               22597.23                 
1.26875                 22597.22                 
1.2694444               22597.25                 
1.2701389               22597.95                 
1.2708333               22597.84                 
1.2715278               22597.56                 
1.2722222               22598.05                 
1.2729167               22597.56                 
1.2736111               22597.88                 
1.2743056               22597.39                 
1.275                   22597.76                 
1.2756944               22597.85                 
1.2763889               22597.56                 
1.2770833               22598.03                 
1.2777778               22597.94                 
1.2784722               22597.76                 
1.2791667               22597.78                 
1.2798611               22597.96                 
1.2805556               22598.2                  
1.28125                 22597.86                 
1.2819444               22598.1                  
1.2826389               22598.18                 
1.2833333               22598.13                 
1.2840278               22598.51                 
1.2847222               22598.29                 
1.2854167               22598.6                  
1.2861111               22598.42                 
1.2868056               22598.42                 
1.2875                  22598.71                 
1.2881944               22598.82                 
1.2888889               22598.59                 
1.2895833               22598.81                 
1.2902778               22598.92                 
1.2909722               22598.88                 
1.2916667               22599.08                 
1.2923611               22598.63                 
1.2930556               22598.99                 
1.29375                 22598.2                  
1.2944444               22598.41                 
1.2951389               22597.64                 
1.2958333               22597.61                 
1.2965278               22597.52                 
1.2972222               22597.63                 
1.2979167               22597.51                 
1.2986111               22597.43                 
1.2993056               22597.37                 
1.3                     22597.7                  
1.3006944               22597.1                  
1.3013889               22597.09                 
1.3020833               22596.83                 
1.3027778               22596.46                 
1.3034722               22596.39                 
1.3041667               22596.42                 
1.3048611               22596.2                  
1.3055556               22596.31                 
1.30625                 22595.82                 
1.3069444               22595.91                 
1.3076389               22595.58                 
1.3083333               22595.5                  
1.3090278               22595.25                 
1.3097222               22595.1                  
1.3104167               22595.15                 
1.3111111               22594.69                 
1.3118056               22594.7                  
1.3125                  22594.32                 
1.3131944               22593.34                 
1.3138889               22593.52                 
1.3145833               22593.52                 
1.3152778               22593.84                 
1.3159722               22593.15                 
1.3166667               22593.77                 
1.3173611               22592.99                 
1.3180556               22593                    
1.31875                 22592.59                 
1.3194444               22592.09                 
1.3201389               22591.45                 
1.3208333               22592.12                 
1.3215278               22591.61                 
1.3222222               22591.55                 
1.3229167               22590.81                 
1.3236111               22590.52                 
1.3243056               22589.89                 
1.325                   22589.72                 
1.3256944               22589.41                 
1.3263889               22589.42                 
1.3270833               22589.26                 
1.3277778               22590.15                 
1.3284722               22589.85                 
1.3291667               22590.29                 
1.3298611               22589.6                  
1.3305556               22589.56                 
1.33125                 22589.27                 
1.3319444               22589.01                 
1.3326389               22588.5                  
1.3333333               22588.42                 
1.3340278               22588.06                 
1.3347222               22587.89                 
1.3354167               22588.14                 
1.3361111               22588.25                 
1.3368056               22588.16                 
1.3375                  22587.99                 
1.3381944               22588.06                 
1.3388889               22587.55                 
1.3395833               22587.55                 
1.3402778               22587.15                 
1.3409722               22586.78                 
1.3416667               22586.65                 
1.3423611               22586.75                 
1.3430556               22586.85                 
1.34375                 22586.78                 
1.3444444               22587.01                 
1.3451389               22587.13                 
1.3458333               22587.16                 
1.3465278               22587.02                 
1.3472222               22586.84                 
1.3479167               22586.47                 
1.3486111               22586.61                 
1.3493056               22586.54                 
1.35                    22586.65                 
1.3506944               22586.35                 
1.3513889               22586.26                 
1.3520833               22586.25                 
1.3527778               22586.36                 
1.3534722               22585.98                 
1.3541667               22586.27                 
1.3548611               22585.19                 
1.3555556               22585.61                 
1.35625                 22586.08                 
1.3569444               22585.88                 
1.3576389               22585.04                 
1.3583333               22585.02                 
1.3590278               22584.95                 
1.3597222               22585.17                 
1.3604167               22584.98                 
1.3611111               22585.07                 
1.3618056               22584.95                 
1.3625                  22585.45                 
1.3631944               22584.93                 
1.3638889               22585.17                 
1.3645833               22584.9                  
1.3652778               22584.7                  
1.3659722               22584.45                 
1.3666667               22584.85                 
1.3673611               22584.98                 
1.3680556               22585.01                 
1.36875                 22584.68                 
1.3694444               22584.21                 
1.3701389               22583.7                  
1.3708333               22583.14                 
1.3715278               22582.94                 
1.3722222               22582.98                 
1.3729167               22581.54                 
1.3736111               22580.28                 
1.3743056               22579.8                  
1.375                   22580.93                 
1.3756944               22580.84                 
1.3763889               22581.02                 
1.3770833               22580.7                  
1.3777778               22581.82                 
1.3784722               22581.65                 
1.3791667               22582.09                 
1.3798611               22581.87                 
1.3805556               22581.78                 
1.38125                 22582.07                 
1.3819444               22582.06                 
1.3826389               22582.01                 
1.3833333               22582.76                 
1.3840278               22583.07                 
1.3847222               22583.16                 
1.3854167               22583.21                 
1.3861111               22582.96                 
1.3868056               22582.99                 
1.3875                  22582.26                 
1.3881944               22582.75                 
1.3888889               22583.3                  
1.3895833               22583.36                 
1.3902778               22584.17                 
1.3909722               22583.9                  
1.3916667               22584.18                 
1.3923611               22583.71                 
1.3930556               22583.8                  
1.39375                 22584.14                 
1.3944444               22584.16                 
1.3951389               22584.45                 
1.3958333               22584.34                 
1.3965278               22583.86                 
1.3972222               22584.02                 
1.3979167               22583.83                 
1.3986111               22584.18                 
1.3993056               22583.47                 
1.4                     22583.65                 
1.4006944               22584.2                  
1.4013889               22584.29                 
1.4020833               22584.73                 
1.4027778               22585.37                 
1.4034722               22584.27                 
1.4041667               22584.95                 
1.4048611               22584.67                 
1.4055556               22585.39                 
1.40625                 22584.93                 
1.4069444               22585.34                 
1.4076389               22585.44                 
1.4083333               22585.73                 
1.4090278               22585.51                 
1.4097222               22585.74                 
1.4104167               22585.71                 
1.4111111               22586.27                 
1.4118056               22585.96                 
1.4125                  22585.57                 
1.4131944               22585.27                 
1.4138889               22585.64                 
1.4145833               22585.25                 
1.4152778               22585                    
1.4159722               22585.52                 
1.4166667               22586.4                  
1.4173611               22586.94                 
1.4180556               22587.22                 
1.41875                 22587.01                 
1.4194444               22587.23                 
1.4201389               22586.74                 
1.4208333               22586.95                 
1.4215278               22587.16                 
1.4222222               22587.71                 
1.4229167               22587.26                 
1.4236111               22587.8                  
1.4243056               22587.65                 
1.425                   22588.26                 
1.4256944               22588.36                 
1.4263889               22588.68                 
1.4270833               22588.73                 
1.4277778               22588.79                 
1.4284722               22588.17                 
1.4291667               22588.34                 
1.4298611               22588.28                 
1.4305556               22588.8                  
1.43125                 22588.38                 
1.4319444               22588.46                 
1.4326389               22588.77                 
1.4333333               22589.23                 
1.4340278               22589.76                 
1.4347222               22590.23                 
1.4354167               22590.15                 
1.4361111               22590.66                 
1.4368056               22588.77                 
1.4375                  22586.88                 
1.4381944               22586.42                 
1.4388889               22587.96                 
1.4395833               22589.49                 
1.4402778               22589.51                 
1.4409722               22588.64                 
1.4416667               22589                    
1.4423611               22588.99                 
1.4430556               22589.21                 
1.44375                 22589.04                 
1.4444444               22589.93                 
1.4451389               22589.29                 
1.4458333               22589.3                  
1.4465278               22589.68                 
1.4472222               22588.37                 
1.4479167               22587.67                 
1.4486111               22587.47                 
1.4493056               22588.13                 
1.45                    22588.59                 
1.4506944               22588.35                 
1.4513889               22588.77                 
1.4520833               22588.86                 
1.4527778               22588.88                 
1.4534722               22589.07                 
1.4541667               22589.39                 
1.4548611               22589.29                 
1.4555556               22589.8                  
1.45625                 22589.73                 
1.4569444               22590.17                 
1.4576389               22590.02                 
1.4583333               22590.19                 
1.4590278               22589.71                 
1.4597222               22590.81                 
1.4604167               22591.13                 
1.4611111               22591.76                 
1.4618056               22592.19                 
1.4625                  22592.03                 
1.4631944               22591.13                 
1.4638889               22591.39                 
1.4645833               22591.91                 
1.4652778               22591.2                  
1.4659722               22590.46                 
1.4666667               22592.61                 
1.4673611               22592.33                 
1.4680556               22590.17                 
1.46875                 22587.54                 
1.4694444               22585.3                  
1.4701389               22584.96                 
1.4708333               22585.56                 
1.4715278               22584.66                 
1.4722222               22583.06                 
1.4729167               22581.45                 
1.4736111               22581.86                 
1.4743056               22580.67                 
1.475                   22579.88                 
1.4756944               22579.56                 
1.4763889               22581.44                 
1.4770833               22584.39                 
1.4777778               22586.79                 
1.4784722               22588.95                 
1.4791667               22586.66                 
1.4798611               22584.28                 
1.4805556               22585.16                 
1.48125                 22586.36                 
1.4819444               22585.53                 
1.4826389               22585.39                 
1.4833333               22584.8                  
1.4840278               22583.93                 
1.4847222               22584.84                 
1.4854167               22585.66                 
1.4861111               22586.47                 
1.4868056               22585.96                 
1.4875                  22586.31                 
1.4881944               22586.9                  
1.4888889               22586.82                 
1.4895833               22586.24                 
1.4902778               22587.09                 
1.4909722               22587.31                 
1.4916667               22587.04                 
1.4923611               22587.6                  
1.4930556               22587.89                 
1.49375                 22586.99                 
1.4944444               22587.17                 
1.4951389               22586.86                 
1.4958333               22586.89                 
1.4965278               22585.64                 
1.4972222               22585.97                 
1.4979167               22585.35                 
1.4986111               22586.39                 
1.4993056               22586.1                  
1.5                     22585.53                 
1.5006944               22585.78                 
1.5013889               22585.74                 
1.5020833               22584.81                 
1.5027778               22583.39                 
1.5034722               22582.34                 
1.5041667               22582.6                  
1.5048611               22581.89                 
1.5055556               22580.54                 
1.50625                 22580.13                 
1.5069444               22580.02                 
1.5076389               22578.93                 
1.5083333               22579.52                 
1.5090278               22580.01                 
1.5097222               22579.52                 
1.5104167               22579.68                 
1.5111111               22580.43                 
1.5118056               22581.7                  
1.5125                  22582.07                 
1.5131944               22581.57                 
1.5138889               22581.4                  
1.5145833               22580.88                 
1.5152778               22581.53                 
1.5159722               22582.43                 
1.5166667               22583.02                 
1.5173611               22582.4                  
1.5180556               22582.36                 
1.51875                 22583.31                 
1.5194444               22583.86                 
1.5201389               22583.04                 
1.5208333               22582.99                 
1.5215278               22581.92                 
1.5222222               22582.63                 
1.5229167               22582.47                 
1.5236111               22583.06                 
1.5243056               22582.89                 
1.525                   22582.82                 
1.5256944               22583.21                 
1.5263889               22583.38                 
1.5270833               22583.26                 
1.5277778               22583.51                 
1.5284722               22583.07                 
1.5291667               22584                    
1.5298611               22584.21                 
1.5305556               22584.47                 
1.53125                 22584.59                 
1.5319444               22583.96                 
1.5326389               22583.97                 
1.5333333               22583.87                 
1.5340278               22583.85                 
1.5347222               22583.71                 
1.5354167               22584.2                  
1.5361111               22584.31                 
1.5368056               22583.9                  
1.5375                  22584                    
1.5381944               22583.88                 
1.5388889               22583.48                 
1.5395833               22583.88                 
1.5402778               22583.39                 
1.5409722               22583.7                  
1.5416667               22583.69                 
1.5423611               22583.71                 
1.5430556               22583.51                 
1.54375                 22583.2                  
1.5444444               22583.22                 
1.5451389               22582.58                 
1.5458333               22582.3                  
1.5465278               22582.18                 
1.5472222               22582.23                 
1.5479167               22581.71                 
1.5486111               22582.11                 
1.5493056               22581.6                  
1.55                    22581.84                 
1.5506944               22581.94                 
1.5513889               22582.12                 
1.5520833               22582.45                 
1.5527778               22582.89                 
1.5534722               22582.92                 
1.5541667               22583.3                  
1.5548611               22582.58                 
1.5555556               22582.26                 
1.55625                 22581.81                 
1.5569444               22581.71                 
1.5576389               22581.2                  
1.5583333               22581.17                 
1.5590278               22580.65                 
1.5597222               22580.6                  
1.5604167               22580.49                 
1.5611111               22581                    
1.5618056               22581.65                 
1.5625                  22581.79                 
1.5631944               22581.71                 
1.5638889               22581.7                  
1.5645833               22582.01                 
1.5652778               22582.34                 
1.5659722               22582.48                 
1.5666667               22582.75                 
1.5673611               22583.24                 
1.5680556               22583.53                 
1.56875                 22584.31                 
1.5694444               22585.12                 
1.5701389               22585.12                 
1.5708333               22585.3                  
1.5715278               22585.27                 
1.5722222               22585.15                 
1.5729167               22585.26                 
1.5736111               22585.86                 
1.5743056               22586.54                 
1.575                   22586.82                 
1.5756944               22587.58                 
1.5763889               22587.7                  
1.5770833               22587.62                 
1.5777778               22588.58                 
1.5784722               22587.81                 
1.5791667               22588.48                 
1.5798611               22588.41                 
1.5805556               22588.9                  
1.58125                 22589.51                 
1.5819444               22590.46                 
1.5826389               22590.28                 
1.5833333               22590.76                 
1.5840278               22590.58                 
1.5847222               22590.97                 
1.5854167               22590.33                 
1.5861111               22590.22                 
1.5868056               22589.73                 
1.5875                  22589.84                 
1.5881944               22589.42                 
1.5888889               22589.66                 
1.5895833               22590.05                 
1.5902778               22590.73                 
1.5909722               22590.44                 
1.5916667               22591.34                 
1.5923611               22591.35                 
1.5930556               22591.37                 
1.59375                 22590.91                 
1.5944444               22590.24                 
1.5951389               22590.48                 
1.5958333               22589.9                  
1.5965278               22588.93                 
1.5972222               22588.92                 
1.5979167               22588.85                 
1.5986111               22589.12                 
1.5993056               22589.12                 
1.6                     22588.64                 
1.6006944               22588.86                 
1.6013889               22588.25                 
1.6020833               22588.06                 
1.6027778               22587.02                 
1.6034722               22587                    
1.6041667               22586.82                 
1.6048611               22586.33                 
1.6055556               22586.9                  
1.60625                 22586.29                 
1.6069444               22586.69                 
1.6076389               22587.01                 
1.6083333               22587.2                  
1.6090278               22586.13                 
1.6097222               22586.25                 
1.6104167               22586.06                 
1.6111111               22586.29                 
1.6118056               22585.26                 
1.6125                  22584.74                 
1.6131944               22585.25                 
