1-14 Jan 2024, Surlari, B-y
Time (Days)             B-y (nT)
1.1479167               2449.88                  
1.1486111               2449.88                  
1.1493056               2449.58                  
1.15                    2449.97                  
1.1506944               2449.95                  
1.1513889               2450.11                  
1.1520833               2450.46                  
1.1527778               2450.22                  
1.1534722               2450.92                  
1.1541667               2450.65                  
1.1548611               2450.35                  
1.1555556               2450.28                  
1.15625                 2450.34                  
1.1569444               2450.11                  
1.1576389               2450.21                  
1.1583333               2450.19                  
1.1590278               2449.98                  
1.1597222               2449.77                  
1.1604167               2449.58                  
1.1611111               2449.03                  
1.1618056               2449.3                   
1.1625                  2448.92                  
1.1631944               2449.22                  
1.1638889               2449.18                  
1.1645833               2449.42                  
1.1652778               2450.08                  
1.1659722               2450.51                  
1.1666667               2450.63                  
1.1673611               2450.47                  
1.1680556               2450.37                  
1.16875                 2450.27                  
1.1694444               2450.38                  
1.1701389               2449.96                  
1.1708333               2449.92                  
1.1715278               2450.34                  
1.1722222               2450.2                   
1.1729167               2450.28                  
1.1736111               2449.95                  
1.1743056               2450.07                  
1.175                   2450.22                  
1.1756944               2450.28                  
1.1763889               2450.57                  
1.1770833               2450.37                  
1.1777778               2450.23                  
1.1784722               2450.12                  
1.1791667               2450.27                  
1.1798611               2449.96                  
1.1805556               2450.15                  
1.18125                 2449.67                  
1.1819444               2449.43                  
1.1826389               2449.46                  
1.1833333               2449.41                  
1.1840278               2449.5                   
1.1847222               2449.71                  
1.1854167               2449.54                  
1.1861111               2449.87                  
1.1868056               2449.84                  
1.1875                  2449.99                  
1.1881944               2450.14                  
1.1888889               2450.51                  
1.1895833               2450.26                  
1.1902778               2450.55                  
1.1909722               2450.06                  
1.1916667               2450.59                  
1.1923611               2450.33                  
1.1930556               2450.05                  
1.19375                 2450.18                  
1.1944444               2449.9                   
1.1951389               2450.19                  
1.1958333               2450.06                  
1.1965278               2450.08                  
1.1972222               2449.93                  
1.1979167               2450.26                  
1.1986111               2450.26                  
1.1993056               2450.01                  
1.2                     2449.99                  
1.2006944               2449.93                  
1.2013889               2450.3                   
1.2020833               2449.8                   
1.2027778               2450.02                  
1.2034722               2450.16                  
1.2041667               2450.11                  
1.2048611               2449.99                  
1.2055556               2450.49                  
1.20625                 2450.41                  
1.2069444               2450.57                  
1.2076389               2450.68                  
1.2083333               2450.81                  
1.2090278               2450.43                  
1.2097222               2450.65                  
1.2104167               2450.7                   
1.2111111               2451.08                  
1.2118056               2451.21                  
1.2125                  2451.23                  
1.2131944               2451.5                   
1.2138889               2451.49                  
1.2145833               2452.08                  
1.2152778               2452.42                  
1.2159722               2452.05                  
1.2166667               2452.39                  
1.2173611               2452.03                  
1.2180556               2452.16                  
1.21875                 2452.11                  
1.2194444               2452.11                  
1.2201389               2452.39                  
1.2208333               2452.12                  
1.2215278               2452.61                  
1.2222222               2452.57                  
1.2229167               2452.6                   
1.2236111               2452.58                  
1.2243056               2452.77                  
1.225                   2452.47                  
1.2256944               2452.33                  
1.2263889               2452.39                  
1.2270833               2452.77                  
1.2277778               2452.49                  
1.2284722               2453.01                  
1.2291667               2452.61                  
1.2298611               2452.42                  
1.2305556               2452.44                  
1.23125                 2452.52                  
1.2319444               2452.28                  
1.2326389               2452.15                  
1.2333333               2452.21                  
1.2340278               2452.07                  
1.2347222               2452.36                  
1.2354167               2452.43                  
1.2361111               2452.37                  
1.2368056               2452.39                  
1.2375                  2452.69                  
1.2381944               2452.55                  
1.2388889               2453.19                  
1.2395833               2452.62                  
1.2402778               2452.99                  
1.2409722               2453.03                  
1.2416667               2452.9                   
1.2423611               2453.23                  
1.2430556               2453.04                  
1.24375                 2453.11                  
1.2444444               2452.82                  
1.2451389               2453.02                  
1.2458333               2453.34                  
1.2465278               2453.08                  
1.2472222               2453.47                  
1.2479167               2453.5                   
1.2486111               2453.56                  
1.2493056               2453.47                  
1.25                    2453.01                  
1.2506944               2453.05                  
1.2513889               2452.97                  
1.2520833               2452.81                  
1.2527778               2452.66                  
1.2534722               2452.78                  
1.2541667               2452.64                  
1.2548611               2452.72                  
1.2555556               2452.63                  
1.25625                 2452.92                  
1.2569444               2453.08                  
1.2576389               2452.78                  
1.2583333               2453.5                   
1.2590278               2453.52                  
1.2597222               2453.45                  
1.2604167               2453.53                  
1.2611111               2453.51                  
1.2618056               2453.53                  
1.2625                  2453.64                  
1.2631944               2453.65                  
1.2638889               2453.53                  
1.2645833               2453.27                  
1.2652778               2453.41                  
1.2659722               2453.35                  
1.2666667               2453.28                  
1.2673611               2453.28                  
1.2680556               2453.18                  
1.26875                 2453.31                  
1.2694444               2452.98                  
1.2701389               2453.06                  
1.2708333               2453.12                  
1.2715278               2452.89                  
1.2722222               2453.01                  
1.2729167               2452.89                  
1.2736111               2452.79                  
1.2743056               2452.67                  
1.275                   2452.97                  
1.2756944               2453.05                  
1.2763889               2452.89                  
1.2770833               2453.2                   
1.2777778               2453.13                  
1.2784722               2452.97                  
1.2791667               2452.78                  
1.2798611               2452.93                  
1.2805556               2452.62                  
1.28125                 2452.92                  
1.2819444               2452.61                  
1.2826389               2452.75                  
1.2833333               2452.35                  
1.2840278               2452.52                  
1.2847222               2452.7                   
1.2854167               2452.6                   
1.2861111               2452.45                  
1.2868056               2452.45                  
1.2875                  2452.48                  
1.2881944               2452.42                  
1.2888889               2452.66                  
1.2895833               2452.49                  
1.2902778               2452.43                  
1.2909722               2452.76                  
1.2916667               2452.85                  
1.2923611               2452.34                  
1.2930556               2452.71                  
1.29375                 2452.62                  
1.2944444               2452.51                  
1.2951389               2452.23                  
1.2958333               2452.49                  
1.2965278               2452.35                  
1.2972222               2452.29                  
1.2979167               2452.41                  
1.2986111               2452.27                  
1.2993056               2451.93                  
1.3                     2451.64                  
1.3006944               2451.64                  
1.3013889               2451.7                   
1.3020833               2451.34                  
1.3027778               2451.9                   
1.3034722               2451.69                  
1.3041667               2451.37                  
1.3048611               2451.54                  
1.3055556               2451.42                  
1.30625                 2451.3                   
1.3069444               2451.44                  
1.3076389               2451.67                  
1.3083333               2451.53                  
1.3090278               2451.97                  
1.3097222               2451.49                  
1.3104167               2451.96                  
1.3111111               2451.58                  
1.3118056               2451.51                  
1.3125                  2451.27                  
1.3131944               2451.03                  
1.3138889               2451.18                  
1.3145833               2451.25                  
1.3152778               2451.02                  
1.3159722               2450.94                  
1.3166667               2450.81                  
1.3173611               2450.53                  
1.3180556               2450.46                  
1.31875                 2450.48                  
1.3194444               2450.5                   
1.3201389               2449.9                   
1.3208333               2450.23                  
1.3215278               2450.25                  
1.3222222               2449.91                  
1.3229167               2450.22                  
1.3236111               2450.13                  
1.3243056               2450.39                  
1.325                   2450.04                  
1.3256944               2450.21                  
1.3263889               2450.07                  
1.3270833               2449.72                  
1.3277778               2449.82                  
1.3284722               2448.86                  
1.3291667               2448.57                  
1.3298611               2448.43                  
1.3305556               2448.76                  
1.33125                 2448.66                  
1.3319444               2448.3                   
1.3326389               2448.31                  
1.3333333               2448.17                  
1.3340278               2447.8                   
1.3347222               2448.38                  
1.3354167               2447.94                  
1.3361111               2447.89                  
1.3368056               2447.74                  
1.3375                  2447.53                  
1.3381944               2447.73                  
1.3388889               2447.81                  
1.3395833               2447.81                  
1.3402778               2447.83                  
1.3409722               2447.53                  
1.3416667               2447.78                  
1.3423611               2447.79                  
1.3430556               2447.8                   
1.34375                 2447.53                  
1.3444444               2447.22                  
1.3451389               2447.03                  
1.3458333               2446.84                  
1.3465278               2447.15                  
1.3472222               2447                     
1.3479167               2446.63                  
1.3486111               2447.24                  
1.3493056               2446.97                  
1.35                    2446.85                  
1.3506944               2446.82                  
1.3513889               2446.74                  
1.3520833               2446.81                  
1.3527778               2446.75                  
1.3534722               2446.51                  
1.3541667               2446.61                  
1.3548611               2446.42                  
1.3555556               2446.2                   
1.35625                 2445.59                  
1.3569444               2445.57                  
1.3576389               2445.94                  
1.3583333               2446.14                  
1.3590278               2445.87                  
1.3597222               2445.63                  
1.3604167               2445.54                  
1.3611111               2445.68                  
1.3618056               2444.87                  
1.3625                  2444.92                  
1.3631944               2445.07                  
