x,y,y_xg,y_exp,y_ma
1.0,4.7309811507911945,5.542107522710083,6.634705875655062,
1.0006944,4.440981150793959,5.528903772660594,6.615668628406422,
1.0013889,5.030981150794105,5.516310554709432,6.593921753630298,
1.0020833,5.080981150793377,5.504327868856597,6.578292347601936,
1.0027778,5.180981150791922,5.49295571510209,6.56331923563385,4.892981150792911
1.0034722,5.180981150791922,5.482194093445909,6.54949585478543,4.982981150793057
1.0041667,5.510981150793668,5.472043003888055,6.535810707745495,5.196981150792999
1.0048611,5.520981150792068,5.4625024464285294,6.525562412175976,5.294981150792592
1.0055556,5.710981150790758,5.45357242106733,6.515516599562137,5.420981150792068
1.00625,5.430981150791922,5.445252927804458,6.507471245074423,5.470981150792068
1.0069444,5.530981150794105,5.437543966639913,6.4967063441315975,5.540981150792504
1.0076389,5.420981150793523,5.4304455375736955,6.487049092198222,5.522981150792475
1.0083333,5.430981150791922,5.4239576406058045,6.476388412784175,5.504981150792446
1.0090278,5.690981150793959,5.418080275736241,6.465934340164252,5.500981150793086
1.0097222,5.660981150791486,5.412813442965005,6.458184808270548,5.546981150792999
1.0104167,5.640981150791049,5.4081571422920955,6.450212771695758,5.568981150792387
1.0111111,5.540981150792504,5.404111373717513,6.44212045548671,5.592981150792184
1.0118056,5.82098115079134,5.400676137241258,6.433109062439767,5.670981150792068
1.0125,5.510981150793668,5.39785143286333,6.426987783323282,5.63498115079201
1.0131944,5.790981150792504,5.3956372605837295,6.417827716997985,5.660981150792213
1.0138889,5.6209811507906124,5.394033620402456,6.411559251335931,5.6569811507921255
1.0145833,5.720981150792795,5.3930405123195095,6.403653470330478,5.692981150792184
1.0152778,5.640981150791049,5.392657936334889,6.396826747135101,5.6569811507921255
1.0159722,5.640981150791049,5.392885892448597,6.3892682911716605,5.682981150791602
1.0166667,5.660981150791486,5.3937243806606325,6.381785419767854,5.656981150791398
1.0173611,5.640981150791049,5.395173400970994,6.374577377078091,5.660981150791486
1.0180556,5.500981150791631,5.3972329533796835,6.36724141481522,5.616981150791252
1.01875,5.740981150793232,5.3999030378867,6.358578812174984,5.636981150791689
1.0194444,5.660981150791486,5.403183654492043,6.352402835561167,5.640981150791776
1.0201389,5.660981150791486,5.407074803195713,6.34548861871347,5.640981150791776
1.0208333,5.580981150793377,5.411576483997711,6.338643544034251,5.628981150792242
1.0215278,5.710981150790758,5.416688696898036,6.331066920101842,5.670981150792068
1.0222222,5.7309811507911945,5.422411441896688,6.324866062408731,5.6689811507916605
1.0229167,5.640981150791049,5.428744718993666,6.318927213292555,5.664981150791573
1.0236111,5.640981150791049,5.435688528188972,6.312147752667539,5.660981150791486
1.0243056,5.640981150791049,5.443242869482606,6.305436086648774,5.67298115079102
1.025,5.850981150793814,5.451407742874566,6.298791537290196,5.700981150791631
1.0256944,5.790981150792504,5.4601831483648535,6.294313433425232,5.712981150791893
1.0263889,5.8709811507906124,5.469569085953468,6.289280110598905,5.758981150791806
1.0270833,5.780981150794105,5.47956555564041,6.285097121000822,5.786981150792417
1.0277778,5.760981150793668,5.490172557425679,6.280055961298754,5.810981150792941
1.0284722,5.740981150793232,5.501390091309275,6.274865213193704,5.788981150792824
1.0291667,5.660981150791486,5.513218157291198,6.2695263725696995,5.762981150792621
1.0298611,5.930981150791922,5.525656755371449,6.2634409203519175,5.7749811507928825
1.0305556,5.740981150793232,5.5387058855500255,6.260116322656318,5.766981150792708
1.03125,5.840981150791777,5.5523655478269305,6.2549249709376875,5.782981150792329
1.0319444,5.470981150792795,5.566635742202162,6.250785532736228,5.728981150792242
1.0326389,5.860981150792213,5.58151646867572,6.2429874889167944,5.768981150792388
1.0333333,5.780981150794105,5.597007727247607,6.239167425535548,5.738981150792824
1.0340278,5.390981150791049,5.613109517917819,6.2345855627881335,5.668981150792388
1.0347222,5.510981150793668,5.6298218406857385,6.226149518668163,5.6029811507927665
1.0354167,5.110981150792213,5.634782851349891,6.218997834989418,5.53098115079265
1.0361111,5.500981150791631,5.634626165778428,6.207917668147446,5.458981150792534
1.0368056,5.200981150792359,5.647463022279656,6.2008483029738874,5.342981150792184
1.0375,5.3009811507909035,5.656504819663311,6.190849631452073,5.324981150792155
1.0381944,5.310981150792941,5.667701123759723,6.181950946645461,5.284981150792009
1.0388889,5.520981150792068,5.680860672724335,6.173241248686936,5.366981150791981
1.0395833,5.240981150793232,5.6988323825167075,6.166718647707987,5.314981150792301
1.0402778,5.13098115079265,5.718287842625814,6.157461272738839,5.300981150792358
1.0409722,4.950981150792359,5.74763336941147,6.147196471519377,5.230981150792649
1.0416667,5.13098115079265,5.777197626808072,6.135234318312107,5.194981150792591
1.0423611,4.88098115079265,5.808671822771365,6.125191786636912,5.066981150792708
1.0430556,5.060981150792941,5.848034244450431,6.112749680278469,5.03098115079265
1.04375,4.790981150792504,5.8853804645093195,6.1022319949836135,4.96298115079262
1.0444444,5.270981150792068,5.936862467078538,6.089119486541702,5.026981150792563
1.0451389,4.960981150790758,5.989416596277834,6.080938103184206,4.992981150792184
1.0458333,5.180981150791922,6.046352678235525,6.069738533660271,5.052981150792038
1.0465278,5.3709811507906124,6.097791307535359,6.060850959831587,5.114981150791573
1.0472222,5.750981150791631,6.150915785031649,6.053952261741177,5.306981150791398
1.0479167,5.490981150793232,6.195243819776876,6.0509225506316815,5.350981150791631
1.0486111,5.82098115079134,6.2354561419799905,6.045323136633297,5.522981150791748
1.0493056,6.420981150793523,6.267954925838956,6.043079716774877,5.770981150792068
1.05,6.330981150793377,6.2957778440531404,6.046858731115064,5.96298115079262
1.0506944,6.520981150792068,6.313628056258822,6.049699955311847,6.116981150792708
1.0513889,6.6209811507906124,6.331045118353373,6.0544127672666495,6.342981150792184
1.0520833,7.020981150792068,6.341260062177851,6.060078451101889,6.58298115079233
1.0527778,7.140981150791049,6.352297146468811,6.069687478098791,6.7269811507918345
1.0534722,7.1209811507906124,6.356909656263474,6.080400414825713,6.8849811507912815
1.0541667,6.860981150792213,6.362647657248069,6.090806222185362,6.952981150791311
1.0548611,7.1209811507906124,6.373618152355826,6.098507971471431,7.052981150791311
1.0555556,6.940981150793959,6.3800308421684875,6.108732703264622,7.036981150791689
1.05625,6.760981150793668,6.391693998775426,6.117055187739916,6.960981150792213
1.0569444,6.680981150791922,6.40350061633035,6.123494447370453,6.872981150792475
1.0576389,6.890981150791049,6.421150216241747,6.129069314404668,6.878981150792242
1.0583333,6.780981150794105,6.437304093765403,6.136688432768532,6.810981150792941
1.0590278,6.7309811507911945,6.4570115208187495,6.143131359948788,6.768981150792388
1.0597222,6.38098115079265,6.47603051009631,6.149009857857212,6.692981150792184
1.0604167,6.720981150792795,6.500010306134199,6.151329570786567,6.700981150792359
1.0611111,6.750981150791631,6.529725102856584,6.157026086586629,6.6729811507924754
1.0618056,6.720981150792795,6.558871211642159,6.1629656372286785,6.660981150792213
1.0625,6.82098115079134,6.58706086555904,6.168545792364319,6.678981150792242
1.0631944,6.530981150794105,6.611105269999473,6.175070145948589,6.708981150792534
1.0638889,6.910981150791486,6.632038101146677,6.178629255997044,6.746981150792271
1.0645833,6.910981150791486,6.649865767408429,6.1859527749449885,6.778981150792243
1.0652778,7.000981150791631,6.666290108871703,6.193203058703454,6.834981150792009
1.0659722,7.180981150791922,6.680457583871663,6.201280839624336,6.9069811507921255
1.0666667,7.190981150793959,6.697158739424112,6.211077842736012,7.038981150792097
1.0673611,7.270981150792068,6.701915758815391,6.220876875816591,7.110981150792213
1.0680556,7.090981150791777,6.70921426536506,6.231377918566347,7.146981150792271
1.06875,7.160981150791486,6.711945412266193,6.239973950888602,7.178981150792242
1.0694444,6.970981150792795,6.703584449956364,6.24918402288763,7.136981150792417
1.0701389,7.270981150792068,6.69449490993439,6.256401994166682,7.152981150792039
1.0708333,7.330981150793377,6.674933798483428,6.266547785732936,7.1649811507923005
1.0715278,7.0509811507909035,6.6664631067540325,6.27719211938354,7.1569811507921255
1.0722222,7.390981150791049,6.6472644781533,6.2849300096976135,7.202981150792039
1.0729167,7.400981150793086,6.630865945096068,6.295990521108547,7.288981150792097
1.0736111,7.32098115079134,6.611690940216953,6.307040427405393,7.298981150791951
1.0743056,7.390981150791049,6.599998712741775,6.317179834639252,7.310981150791486
1.075,7.38098115079265,6.583850457139514,6.32791784780077,7.376981150791835
1.0756944,6.970981150792795,6.566672516044464,6.338448480830689,7.292981150792184
1.0763889,6.700981150792359,6.538656063913825,6.344773807530309,7.152981150792039
1.0770833,6.670981150793523,6.512425314625316,6.34833588096293,7.022981150792475
1.0777778,5.990981150793232,6.477100859849737,6.351562333661235,6.742981150792912
1.0784722,6.060981150792941,6.441951762415766,6.347956521832555,6.47898115079297
1.0791667,5.270981150792068,6.399636899861577,6.345086768122159,6.138981150792825
1.0798611,5.030981150794105,6.3636203079111295,6.334345711948858,5.804981150793173
1.0805556,4.540981150792504,6.323119316064365,6.321312066337311,5.37898115079297
1.08125,4.610981150792213,6.286686498025262,6.303508757181863,5.1029811507927665
1.0819444,4.590981150791777,6.258511612575537,6.286583481117966,4.808981150792533
1.0826389,4.690981150793959,6.235545102332274,6.269627457814704,4.692981150792912
1.0833333,5.090981150791777,6.212417158469958,6.253840994744497,4.704981150792446
1.0840278,5.32098115079134,6.194656751361293,6.24221239630497,4.860981150792213
1.0847222,5.640981150791049,6.1814311957960495,6.233000083849833,5.06698115079198
1.0854167,6.180981150791922,6.167362963730146,6.227079894519245,5.38498115079201
1.0861111,6.180981150791922,6.160481207593375,6.2266189070819715,5.682981150791602
1.0868056,6.680981150791922,6.152896623892266,6.226162529519071,6.000981150791631
1.0875,6.6209811507906124,6.1523752999151835,6.230710715731799,6.260981150791485
1.0881944,6.930981150791922,6.15639511937285,6.234613420082387,6.51898115079166
1.0888889,7.140981150791049,6.157015045443091,6.241577097389483,6.710981150791485
1.0895833,6.750981150791631,6.159393292976583,6.250571137923498,6.8249811507914275
1.0902778,7.090981150791777,6.1609407778221295,6.255575238052179,6.906981150791398
1.0909722,6.680981150791922,6.166794392309802,6.263929297179575,6.9189811507916605
1.0916667,6.810981150792941,6.165405573816319,6.268099815715699,6.894981150791864
1.0923611,6.440981150793959,6.169789623871769,6.273528629066471,6.754981150792446
1.0930556,6.430981150791922,6.1749963969762485,6.275203154283745,6.6909811507925046
1.09375,6.150981150793086,6.182734199882768,6.276760934248827,6.502981150792766
1.0944444,6.140981150791049,6.1933221421721285,6.27550313641427,6.394981150792591
1.0951389,5.960981150790758,6.199733142495433,6.274157916558038,6.224981150792155
1.0958333,5.430981150791922,6.21254404494488,6.271026148900366,6.022981150791748
1.0965278,5.440981150793959,6.2260178680553135,6.2626256989192814,5.824981150792155
1.0972222,5.3009811507909035,6.240256155961753,6.254409253438029,5.654981150791718
1.0979167,5.440981150793959,6.253188992934744,6.244874972411558,5.5149811507923
1.0986111,5.520981150792068,6.264842333026086,6.236836034195382,5.426981150792562
1.0993056,5.540981150792504,6.2722450635903755,6.229677485361349,5.448981150792679
1.1,5.82098115079134,6.2796814382958015,6.222790522015661,5.524981150792155
1.1006944,5.710981150790758,6.289537423894344,6.218772428303417,5.606981150792126
1.1013889,5.5509811507909035,6.300005412440773,6.2136945155282906,5.628981150791515
1.1020833,5.890981150791049,6.319269232026629,6.207067381880917,5.702981150791311
1.1027778,6.040981150792504,6.337047786581106,6.203906519570018,5.802981150791311
1.1034722,6.2309811507911945,6.35749512257685,6.202277265882243,5.8849811507912815
1.1041667,6.5509811507909035,6.382502885489048,6.202564304731333,6.052981150791311
1.1048611,6.690981150793959,6.399602352717314,6.206048473191929,6.280981150791922
1.1055556,6.970981150792795,6.426720579103086,6.21089779996795,6.496981150792271
1.10625,6.580981150793377,6.453851884466661,6.218498633476198,6.604981150792446
1.1069444,6.970981150792795,6.477789093721525,6.22212345864937,6.752981150792766
1.1076389,6.850981150793814,6.506082156037434,6.2296120355708045,6.812981150793348
1.1083333,7.020981150792068,6.537794307835166,6.235825726723034,6.87898115079297
1.1090278,6.700981150792359,6.573764817507471,6.243677280963724,6.824981150792882
1.1097222,6.670981150793523,6.615244781037814,6.24825031966201,6.8429811507929115
1.1104167,6.5509811507909035,6.663588003709592,6.252477627973325,6.7589811507925335
1.1111111,7.020981150792068,6.708126001198697,6.2554626632015005,6.792981150792184
1.1118056,7.020981150792068,6.7549058636509685,6.263117848077406,6.792981150792184
1.1125,7.330981150793377,6.794174431284443,6.270696481104553,6.918981150792388
1.1131944,7.460981150790758,6.829656387247033,6.281299327801441,7.076981150791835
1.1138889,7.640981150791049,6.865933626621459,6.293096146031334,7.294981150791864
1.1145833,7.680981150791922,6.89488774533433,6.306574996078931,7.426981150791835
1.1152778,7.660981150791486,6.91020724815844,6.320319057626061,7.554981150791718
1.1159722,7.580981150793377,6.927753439670834,6.333725678557715,7.604981150791718
1.1166667,7.180981150791922,6.938748723665273,6.346198233280072,7.548981150791951
1.1173611,7.180981150791922,6.944090539400259,6.35454606245519,7.456981150792126
1.1180556,6.890981150791049,6.944797678075348,6.362810413338558,7.298981150791951
1.11875,6.8009811507909035,6.944549002722374,6.368092120713082,7.126981150791835
1.1194444,7.090981150791777,6.938868036567513,6.37242101101386,7.028981150791514
1.1201389,7.090981150791777,6.941500639633655,6.3796066124116395,7.010981150791485
1.1208333,6.82098115079134,6.944867384075075,6.386720357795441,6.938981150791369
1.1215278,7.000981150791631,6.949373252137628,6.3910629657254,6.960981150791485
1.1222222,6.990981150793232,6.957937594008701,6.397162147576062,6.998981150791951
1.1229167,6.890981150791049,6.963552320529857,6.403100337608233,6.958981150791805
1.1236111,7.200981150792359,6.9705650994776365,6.407979145740061,6.980981150791922
1.1243056,6.910981150791486,6.976850058070602,6.415909165790584,6.998981150791951
1.125,7.32098115079134,6.982518906508837,6.420859885640593,7.062981150791893
1.1256944,6.950981150792359,6.995354743490603,6.4298610982921005,7.054981150791718
1.1263889,7.340981150791777,7.009337918507114,6.435072298817103,7.144981150791864
1.1270833,6.940981150793959,7.03594787076451,6.44413138733685,7.092981150792184
1.1277778,7.160981150791486,7.065738403215849,6.449099884971421,7.142981150792184
1.1284722,6.950981150792359,7.099931162297558,6.456218697629621,7.068981150792387
1.1291667,6.750981150791631,7.136007002891363,6.461166322161249,7.028981150792243
1.1298611,6.690981150793959,7.174876530620835,6.4640644704475525,6.898981150792679
1.1305556,6.600981150793814,7.211224612030906,6.466333637251017,6.83098115079265
1.13125,6.600981150793814,7.234649032142823,6.467680112386445,6.718981150793115
1.1319444,6.530981150794105,7.258174879873272,6.4690131227705185,6.634981150793465
1.1326389,6.740981150793232,7.271754266938163,6.469632803050755,6.632981150793785
1.1333333,6.5509811507909035,7.281634196678761,6.47234628652818,6.604981150793174
1.1340278,7.260981150793668,7.287447904263115,6.473132635170807,6.736981150793144
1.1347222,7.360981150792213,7.287603220765657,6.481011120327035,6.888981150792825
1.1354167,7.400981150793086,7.295693107424224,6.489810820631687,7.062981150792621
1.1361111,7.680981150791922,7.297810620146368,6.4989225239333015,7.2509811507923585
1.1368056,7.240981150793232,7.295326837787499,6.510743110201888,7.388981150792825
1.1375,7.560981150792941,7.29931793592641,6.518045490607801,7.448981150792679
1.1381944,7.340981150791777,7.303283138271901,6.528474847209653,7.444981150792591
1.1388889,7.220981150792795,7.311915729686371,6.5365999102454735,7.408981150792533
1.1395833,7.690981150793959,7.3278883657849185,6.543443722650947,7.41098115079294
1.1402778,7.460981150790758,7.344519057980378,6.554919096932377,7.454981150792446
1.1409722,7.680981150791922,7.366920317523817,6.563979717470961,7.478981150792242
1.1416667,7.780981150794105,7.38257101851624,6.575149731804171,7.566981150792708
1.1423611,8.010981150793668,7.405342247095385,6.58720804599407,7.724981150792883
1.1430556,8.000981150791631,7.42935137616363,6.601445777042066,7.786981150792417
1.14375,7.830981150793377,7.454349293431095,6.615441130779562,7.860981150792941
1.1444444,7.710981150790758,7.473744514506611,6.6275965309797,7.866981150792708
1.1451389,7.400981150793086,7.492320566286528,6.63843037717781,7.790981150792504
1.1458333,7.3709811507906124,7.511132156183363,6.646055884913964,7.662981150791893
1.1465278,7.020981150792068,7.540610133107259,6.653305137572731,7.46698115079198
1.1472222,7.560981150792941,7.568730197540856,6.656981897704924,7.412981150791893
1.1479167,7.170981150793523,7.6079039207384005,6.666021890235804,7.304981150792446
1.1486111,7.170981150793523,7.649606867732095,6.671071482841381,7.2589811507925335
1.1493056,6.8009811507909035,7.702086251592777,6.676070579520902,7.144981150792591
1.15,7.360981150792213,7.754421912343294,6.677319685233601,7.21298115079262
1.1506944,6.5509811507909035,7.813849816298719,6.684156299889188,7.0109811507922135
1.1513889,6.840981150791777,7.873986897968074,6.682824548398205,6.944981150791864
1.1520833,7.000981150791631,7.933282730463934,6.684406114422141,6.910981150791486
1.1527778,7.2309811507911945,7.989966000732718,6.687571864785836,6.996981150791544
1.1534722,7.560981150792941,8.04834758646407,6.69300595764589,7.036981150791689
1.1541667,8.090981150791777,8.090943224668647,6.701685709577361,7.344981150791864
1.1548611,7.82098115079134,8.145077375947801,6.715578663989505,7.540981150791777
1.1555556,8.330981150793377,8.188370481957433,6.726632688857523,7.806981150792126
1.15625,8.32098115079134,8.230652020790886,6.742676173476882,8.024981150792154
1.1569444,8.650981150793086,8.26833910988812,6.758459223250027,8.242981150792184
1.1576389,8.94098115079396,8.306784022340544,6.777384442525457,8.412981150792621
1.1583333,9.350981150793814,8.337440447206276,6.799020409608142,8.718981150793116
1.1590278,9.870981150790612,8.374843381674477,6.824540017019999,9.026981150792562
1.1597222,9.790981150792504,8.412218730859834,6.855004428357704,9.320981150792795
1.1604167,9.910981150791486,8.453474633149039,6.8843641955820525,9.572981150792476
1.1611111,9.670981150793523,8.491001337275751,6.914630365134147,9.718981150792388
1.1618056,9.140981150791049,8.533315821151287,6.942193872990741,9.676981150791836
1.1625,8.680981150791922,8.574351361598518,6.964181745768744,9.438981150792097
1.1631944,8.44098115079396,8.62052571689811,6.981349739818976,9.168981150792387
1.1638889,8.050981150790903,8.664866655846367,6.9959460539287255,8.796981150792272
1.1645833,7.82098115079134,8.705259054309483,7.006496404897347,8.426981150791836
1.1652778,7.750981150791631,8.739834045789198,7.014641252356287,8.14898115079195
1.1659722,8.000981150791631,8.781192948669762,7.02200465134064,8.012981150791893
1.1666667,7.890981150791049,8.817442107566242,7.03179441633515,7.902981150791311
1.1673611,8.31098115079294,8.858060577180236,7.040386283679709,7.954981150791719
1.1680556,8.620981150790612,8.890692510276457,7.053092232350841,8.114981150791573
